CustomerID,TotalOrders,ActiveMonth,AvgOrderValue,Recency,PurchaseFrequency
12346.0,1,1,28.080000000000002,325,1.0
12347.0,7,7,905.42,2,1.0
12348.0,4,4,139.39249999999998,75,1.0
12349.0,1,1,1051.65,18,1.0
12350.0,1,1,294.4,310,1.0
12352.0,7,4,195.94285714285712,36,1.75
12353.0,1,1,29.300000000000004,204,1.0
12354.0,1,1,2319.418999999997,232,1.0
12355.0,1,1,573.0,214,1.0
12356.0,2,2,760.495,245,1.0
12357.0,1,1,2319.418999999997,33,1.0
12358.0,2,2,1928.13,1,1.0
12359.0,4,4,790.395,57,1.0
12360.0,3,3,620.2366666666667,52,1.0
12361.0,1,1,174.9,287,1.0
12362.0,10,8,459.40200000000004,3,1.25
12363.0,2,2,249.675,109,1.0
12364.0,4,4,349.1,7,1.0
12365.0,1,1,615.88,291,1.0
12367.0,1,1,143.97,4,1.0
12370.0,4,3,722.2950000000001,51,1.3333333333333333
12371.0,1,1,1419.26,59,1.0
12372.0,3,3,357.33,71,1.0
12373.0,1,1,322.05,311,1.0
12374.0,1,1,531.73,25,1.0
12375.0,2,2,169.73000000000002,10,1.0
12377.0,2,2,736.26,315,1.0
12378.0,1,1,2319.418999999997,129,1.0
12379.0,2,2,379.69500000000005,81,1.0
12380.0,4,4,503.075,21,1.0
12381.0,5,4,300.61400000000003,4,1.25
12383.0,5,5,258.784,184,1.0
12384.0,2,2,351.93,28,1.0
12386.0,2,2,874.71,337,1.0
12388.0,6,6,552.9783333333334,15,1.0
12390.0,1,1,425.29,79,1.0
12391.0,1,1,412.55,21,1.0
12393.0,4,3,373.975,72,1.3333333333333333
12394.0,2,2,296.405,63,1.0
12395.0,12,8,224.1541666666667,19,1.5
12397.0,2,2,874.0450000000001,35,1.0
12398.0,1,1,1378.33,45,1.0
12399.0,4,4,223.8,119,1.0
12401.0,1,1,32.85,303,1.0
12402.0,1,1,195.6,323,1.0
12403.0,1,1,317.0,49,1.0
12405.0,1,1,1174.8000000000002,148,1.0
12406.0,2,2,1536.33,22,1.0
12407.0,5,4,282.37399999999997,49,1.25
12408.0,5,4,547.198,32,1.25
12409.0,3,2,1720.8199999999997,78,1.5
12410.0,1,1,274.23,308,1.0
12412.0,3,3,1006.7800000000001,74,1.0
12413.0,3,3,828.8666666666668,66,1.0
12414.0,3,3,133.54,217,1.0
12415.0,20,10,2210.886,24,2.0
12417.0,9,8,350.98333333333335,3,1.125
12418.0,1,1,425.99,112,1.0
12420.0,1,1,394.07,63,1.0
12421.0,4,4,195.1275,15,1.0
12422.0,3,3,363.45666666666665,95,1.0
12423.0,8,8,320.40875,1,1.0
12424.0,2,1,641.5699999999999,162,2.0
12425.0,1,1,661.8000000000001,78,1.0
12426.0,1,1,892.16,194,1.0
12427.0,3,3,297.15,21,1.0
12428.0,8,5,688.3525,25,1.6
12429.0,4,4,866.7175,9,1.0
12430.0,1,1,168.6,43,1.0
12431.0,15,8,370.1186666666666,35,1.875
12432.0,4,2,672.4275,42,2.0
12433.0,7,5,2319.418999999997,1,1.4
12434.0,2,2,312.42,84,1.0
12435.0,2,2,1523.295,79,1.0
12436.0,1,1,429.01000000000005,99,1.0
12437.0,18,10,189.56666666666666,1,1.8
12438.0,2,2,891.5450000000001,14,1.0
12441.0,1,1,933.3000000000001,366,1.0
12442.0,1,1,288.12,3,1.0
12444.0,5,5,523.356,21,1.0
12445.0,1,1,77.4,22,1.0
12446.0,1,1,734.36,57,1.0
12447.0,1,1,759.5799999999999,243,1.0
12448.0,1,1,283.95,44,1.0
12449.0,4,4,853.9925000000001,22,1.0
12450.0,2,2,139.155,156,1.0
12451.0,5,4,1437.9940000000001,10,1.25
12452.0,1,1,287.67,16,1.0
12453.0,1,1,707.09,134,1.0
12454.0,1,1,1260.6100000000001,56,1.0
12455.0,5,5,338.43600000000004,73,1.0
12456.0,3,3,882.7999999999998,44,1.0
12457.0,6,3,240.73166666666668,66,2.0
12458.0,2,2,353.575,71,1.0
12461.0,1,1,419.08,154,1.0
12462.0,2,2,339.43,18,1.0
12463.0,4,4,288.845,53,1.0
12464.0,4,3,22.636499999999998,149,1.3333333333333333
12465.0,2,2,1068.6,17,1.0
12468.0,2,2,520.37,187,1.0
12471.0,27,12,384.9074074074074,2,2.25
12472.0,7,7,2319.418999999997,32,1.0
12473.0,3,3,782.85,53,1.0
12474.0,18,9,378.5677777777778,17,2.0
12475.0,1,1,597.31,53,1.0
12476.0,10,8,385.51,15,1.25
12477.0,6,5,1377.8233333333335,22,1.2
12478.0,1,1,959.1800000000001,3,1.0
12479.0,1,1,426.35,11,1.0
12480.0,4,4,1577.77,28,1.0
12481.0,10,7,971.832,22,1.4285714285714286
12483.0,8,7,376.18,17,1.1428571428571428
12484.0,4,4,1356.4225000000001,35,1.0
12488.0,3,3,730.8766666666667,9,1.0
12489.0,1,1,382.86,336,1.0
12490.0,10,8,554.085,5,1.25
12491.0,1,1,2319.418999999997,38,1.0
12492.0,2,2,113.60500000000002,63,1.0
12493.0,2,2,177.66000000000003,165,1.0
12494.0,7,6,161.22714285714287,15,1.1666666666666667
12497.0,1,1,290.13,81,1.0
12498.0,3,2,116.56666666666668,21,1.5
12500.0,11,7,140.88363636363636,23,1.5714285714285714
12501.0,1,1,2319.418999999997,336,1.0
12502.0,5,5,383.47400000000005,95,1.0
12504.0,1,1,60.0,30,1.0
12506.0,1,1,288.0,232,1.0
12507.0,3,2,175.21333333333334,134,1.5
12508.0,2,1,260.48,26,2.0
12509.0,1,1,124.5,284,1.0
12510.0,2,2,355.78999999999996,142,1.0
12512.0,2,1,62.115,66,2.0
12513.0,1,1,520.04,112,1.0
12514.0,1,1,2319.418999999997,267,1.0
12515.0,1,1,190.8,353,1.0
12516.0,2,2,2235.255,77,1.0
12517.0,4,4,2319.418999999997,28,1.0
12518.0,5,5,788.5840000000001,1,1.0
12519.0,1,1,242.84,63,1.0
12520.0,5,4,412.312,79,1.25
12521.0,1,1,499.03,142,1.0
12522.0,2,1,162.22,39,2.0
12523.0,11,9,186.68727272727273,19,1.2222222222222223
12524.0,8,7,2319.418999999997,9,1.1428571428571428
12526.0,3,3,358.15333333333336,1,1.0
12527.0,3,3,98.90333333333335,81,1.0
12528.0,6,6,271.4866666666667,9,1.0
12530.0,4,4,348.535,59,1.0
12531.0,1,1,95.27,14,1.0
12532.0,1,1,297.33000000000004,30,1.0
12534.0,1,1,2319.418999999997,130,1.0
12535.0,2,2,822.25,91,1.0
12536.0,1,1,2319.418999999997,59,1.0
12538.0,1,1,258.75,29,1.0
12539.0,4,3,1367.6875,22,1.3333333333333333
12540.0,17,11,686.5888235294118,19,1.5454545454545454
12541.0,3,3,313.3566666666666,29,1.0
12544.0,1,1,284.9,36,1.0
12545.0,2,2,462.08,75,1.0
12546.0,2,2,486.40999999999997,46,1.0
12547.0,2,2,75.9,197,1.0
12548.0,1,1,134.39999999999998,166,1.0
12550.0,1,1,748.88,79,1.0
12551.0,1,1,168.0,357,1.0
12552.0,1,1,496.41,39,1.0
12553.0,10,9,419.745,8,1.1111111111111112
12556.0,2,2,256.83,50,1.0
12557.0,5,5,550.26,16,1.0
12558.0,1,1,251.24,7,1.0
12559.0,2,2,218.88,310,1.0
12560.0,2,2,1180.9050000000002,5,1.0
12561.0,1,1,207.05,302,1.0
12562.0,7,7,406.09714285714284,8,1.0
12564.0,1,1,336.15,261,1.0
12565.0,1,1,145.92,288,1.0
12566.0,1,1,232.66,86,1.0
12567.0,10,7,1576.1460000000002,22,1.4285714285714286
