StockCode,YearMonth,MonthlyQuantity,AvgUnitPrice,HolidayCount,MonthlyRevenue,lag1_quantity,lag2_quantity,lag3_quantity,rolling_mean_3,GrowthRate,Month,LagRevenue1,LagRevenue2,LagRevenue3
10002,2011-03,54,0.85,9,45.9,51.0,396.0,279.0,242.0,0.05882352941176472,3,43.349999999999994,336.59999999999997,237.14999999999998
10002,2011-04,67,0.85,4,56.95,54.0,51.0,396.0,167.0,0.2407407407407407,4,45.9,43.349999999999994,336.59999999999997
10080,2011-08,108,0.39,5,42.12,36.0,27.0,4.0,22.333333333333332,2.0,8,14.04,10.53,3.4
10080,2011-09,72,0.39,3,28.08,108.0,36.0,27.0,57.0,-0.33333333333333337,9,42.12,14.04,10.53
10080,2011-10,8,0.39,3,3.12,72.0,108.0,36.0,72.0,-0.8888888888888888,10,28.08,42.12,14.04
10080,2011-11,163,0.39,8,63.56999999999999,8.0,72.0,108.0,62.666666666666664,19.375,11,3.12,28.08,42.12
10120,2011-05,4,0.21,3,0.84,28.0,54.0,76.0,52.666666666666664,-0.8571428571428572,5,5.88,11.34,15.96
10120,2011-07,5,0.21,0,1.05,4.0,28.0,54.0,28.666666666666668,0.25,7,0.84,5.88,11.34
10120,2011-08,32,0.21,0,6.72,5.0,4.0,28.0,12.333333333333334,5.4,8,1.05,0.84,5.88
10120,2011-09,13,0.21000000000000002,3,2.73,32.0,5.0,4.0,13.666666666666666,-0.59375,9,6.72,1.05,0.84
10120,2011-10,20,0.21,4,4.2,13.0,32.0,5.0,16.666666666666668,0.5384615384615385,10,2.73,6.72,1.05
10120,2011-11,71,0.21,7,14.91,20.0,13.0,32.0,21.666666666666668,2.55,11,4.2,2.73,6.72
10120,2011-12,12,0.21,2,2.52,71.0,20.0,13.0,34.666666666666664,-0.8309859154929577,12,14.91,4.2,2.73
10124A,2011-11,8,0.42,2,3.36,14.0,3.0,8.0,8.333333333333334,-0.4285714285714286,11,5.88,1.26,3.36
10124G,2011-11,8,0.42,2,3.36,4.0,12.0,5.0,7.0,1.0,11,1.68,5.04,2.1
10125,2011-04,82,0.85,0,69.7,99.0,489.0,311.0,299.6666666666667,-0.1717171717171717,4,84.15,205.38,235.54
10125,2011-05,49,0.85,13,41.65,82.0,99.0,489.0,223.33333333333334,-0.4024390243902439,5,69.7,84.15,205.38
10125,2011-06,14,0.85,2,11.899999999999999,49.0,82.0,99.0,76.66666666666667,-0.7142857142857143,6,41.65,69.7,84.15
10125,2011-07,128,0.85,12,108.8,14.0,49.0,82.0,48.333333333333336,8.142857142857142,7,11.899999999999999,41.65,69.7
10125,2011-08,72,0.85,2,61.2,128.0,14.0,49.0,63.666666666666664,-0.4375,8,108.8,11.899999999999999,41.65
10125,2011-09,107,0.85,4,90.95,72.0,128.0,14.0,71.33333333333333,0.48611111111111116,9,61.2,108.8,11.899999999999999
10125,2011-10,64,0.85,4,54.4,107.0,72.0,128.0,102.33333333333333,-0.4018691588785047,10,90.95,61.2,108.8
10125,2011-11,29,0.85,0,24.65,64.0,107.0,72.0,81.0,-0.546875,11,54.4,90.95,61.2
10125,2011-12,32,0.85,2,27.2,29.0,64.0,107.0,66.66666666666667,0.10344827586206895,12,24.65,54.4,90.95
10133,2011-03,83,0.85,0,70.55,41.0,97.0,149.0,95.66666666666667,1.024390243902439,3,34.85,45.04,100.85
10133,2011-04,32,0.85,0,27.2,83.0,41.0,97.0,73.66666666666667,-0.6144578313253012,4,70.55,34.85,45.04
10133,2011-05,35,0.85,3,29.75,32.0,83.0,41.0,52.0,0.09375,5,27.2,70.55,34.85
10133,2011-06,1147,0.48615384615384616,65,537.64,35.0,32.0,83.0,50.0,31.771428571428572,6,29.75,27.2,70.55
10133,2011-07,700,0.42000000000000004,27,294.0,1147.0,35.0,32.0,404.6666666666667,-0.3897122929380994,7,537.64,29.75,27.2
10133,2011-08,920,0.42,41,386.40000000000003,700.0,1147.0,35.0,627.3333333333334,0.3142857142857143,8,294.0,537.64,29.75
10133,2011-09,90,0.42,3,37.8,920.0,700.0,1147.0,922.3333333333334,-0.9021739130434783,9,386.40000000000003,294.0,537.64
