CustomerID,TotalOrders,ActiveMonth,AvgOrderValue,Recency,PurchaseFrequency,clusters,Churn,segment,Customer_Text
12346.0,1,1,28.08,325,1.0,0,1,Dormant Customers,"
       Customer Profile:
- Orders: 1
- Active Months: 1
- Avg Order Value: 28.08
- Recency: 325
- Frequency: 1.0
- Cluster: 0
- Churn Risk: Yes"
12347.0,7,7,905.42,2,1.0,1,0,Occasional Customers,"
       Customer Profile:
- Orders: 7
- Active Months: 7
- Avg Order Value: 905.42
- Recency: 2
- Frequency: 1.0
- Cluster: 1
- Churn Risk: No"
12348.0,4,4,139.39249999999998,75,1.0,1,0,Occasional Customers,"
       Customer Profile:
- Orders: 4
- Active Months: 4
- Avg Order Value: 139.39
- Recency: 75
- Frequency: 1.0
- Cluster: 1
- Churn Risk: No"
12349.0,1,1,1051.65,18,1.0,1,0,Occasional Customers,"
       Customer Profile:
- Orders: 1
- Active Months: 1
- Avg Order Value: 1051.65
- Recency: 18
- Frequency: 1.0
- Cluster: 1
- Churn Risk: No"
12350.0,1,1,294.4,310,1.0,0,1,Dormant Customers,"
       Customer Profile:
- Orders: 1
- Active Months: 1
- Avg Order Value: 294.40
- Recency: 310
- Frequency: 1.0
- Cluster: 0
- Churn Risk: Yes"
12352.0,7,4,195.94285714285712,36,1.75,1,0,Occasional Customers,"
       Customer Profile:
- Orders: 7
- Active Months: 4
- Avg Order Value: 195.94
- Recency: 36
- Frequency: 1.75
- Cluster: 1
- Churn Risk: No"
12353.0,1,1,29.300000000000004,204,1.0,0,1,Dormant Customers,"
       Customer Profile:
- Orders: 1
- Active Months: 1
- Avg Order Value: 29.30
- Recency: 204
- Frequency: 1.0
- Cluster: 0
- Churn Risk: Yes"
12354.0,1,1,2319.418999999997,232,1.0,0,1,Dormant Customers,"
       Customer Profile:
- Orders: 1
- Active Months: 1
- Avg Order Value: 2319.42
- Recency: 232
- Frequency: 1.0
- Cluster: 0
- Churn Risk: Yes"
12355.0,1,1,573.0,214,1.0,0,1,Dormant Customers,"
       Customer Profile:
- Orders: 1
- Active Months: 1
- Avg Order Value: 573.00
- Recency: 214
- Frequency: 1.0
- Cluster: 0
- Churn Risk: Yes"
12356.0,2,2,760.495,245,1.0,0,1,Dormant Customers,"
       Customer Profile:
- Orders: 2
- Active Months: 2
- Avg Order Value: 760.50
- Recency: 245
- Frequency: 1.0
- Cluster: 0
- Churn Risk: Yes"
12357.0,1,1,2319.418999999997,33,1.0,1,0,Occasional Customers,"
       Customer Profile:
- Orders: 1
- Active Months: 1
- Avg Order Value: 2319.42
- Recency: 33
- Frequency: 1.0
- Cluster: 1
- Churn Risk: No"
12358.0,2,2,1928.13,1,1.0,1,0,Occasional Customers,"
       Customer Profile:
- Orders: 2
- Active Months: 2
- Avg Order Value: 1928.13
- Recency: 1
- Frequency: 1.0
- Cluster: 1
- Churn Risk: No"
12359.0,4,4,790.395,57,1.0,1,0,Occasional Customers,"
       Customer Profile:
- Orders: 4
- Active Months: 4
- Avg Order Value: 790.39
- Recency: 57
- Frequency: 1.0
- Cluster: 1
- Churn Risk: No"
