StockCode,TotalQuantitySold,TotalRevenue,AvgMonthlyQuantity,AvgMonthlyRevenue,ActiveMonthCount,StdMonthlyQuantity,PeakMonthSale,TotalHolidayQuantity,HolidayRatio,AvgUnitPrice,PriceVariance,UniqueCustomersCount
10002,847,719.9499999999999,169.4,143.98999999999998,5,159.04496219622928,396,462,0.5454545454545454,0.85,0.0,40
10080,418,164.85999999999999,59.714285714285715,23.55142857142857,7,58.53977077085938,163,286,0.6842105263157895,0.4178787878787879,0.012423484848484847,19
10120,315,66.15,31.5,6.615,10,26.60931332363831,76,218,0.692063492063492,0.21,0.0,25
10123C,5,3.25,2.5,1.625,2,2.1213203435596424,4,0,0.0,0.65,0.0,3
10124A,33,13.86,8.25,3.465,4,4.5,14,33,1.0,0.42000000000000004,0.0,5
10124G,29,12.18,7.25,3.045,4,3.593976442141304,12,20,0.6896551724137931,0.42,0.0,4
10125,1476,1015.52,123.0,84.62666666666667,12,138.95519225471733,489,1022,0.6924119241192412,0.7485849056603773,0.033640835579514805,49
10133,3294,1564.08,329.4,156.408,10,423.9358442028699,1147,2345,0.7119004250151791,0.513393665158371,0.03157979432332374,101
10135,1944,1883.24,149.53846153846155,144.86461538461538,13,131.6970104600046,506,1155,0.5941358024691358,1.1984242424242424,0.26423164818920913,92
11001,1256,2141.56,96.61538461538461,164.73538461538462,13,71.61882720525665,246,794,0.6321656050955414,1.8645833333333333,0.269334561403509,44
15030,149,43.21,18.625,5.40125,8,27.128990818995515,83,122,0.8187919463087249,0.29,0.0,11
15034,3301,431.90000000000003,275.0833333333333,35.99166666666667,12,220.10099265949933,855,2271,0.6879733414116934,0.133,0.00044377358490566053,70
15036,10010,8061.22,770.0,620.0938461538461,13,656.0811687588663,2421,6605,0.6598401598401599,0.808768115942029,0.0018315105605092193,194
15039,975,802.83,81.25,66.9025,12,72.51222467469005,245,635,0.6512820512820513,0.8416521739130434,0.002624439359267733,58
15044A,564,1658.6800000000003,43.38461538461539,127.59076923076925,13,33.452798740759256,106,349,0.6187943262411347,2.9955172413793103,0.13957277361319342,53
15044B,324,923.4000000000001,36.0,102.60000000000001,9,33.30915789989294,115,191,0.5895061728395061,2.93,0.0077288135593220255,36
15044C,395,1154.45,32.916666666666664,96.20416666666667,12,29.995327919022603,104,267,0.6759493670886076,2.946,0.0016000000000000016,43
15044D,642,1821.14,53.5,151.76166666666668,12,38.30618274330707,149,407,0.6339563862928349,2.9503333333333335,0.0771898039215687,53
15056BL,3181,17389.55,244.69230769230768,1337.6576923076923,13,120.56836554101066,429,2166,0.6809179503300848,5.776808510638298,0.43002604001270206,141
15056N,4283,23121.65,329.46153846153845,1778.5884615384616,13,224.6258427491575,977,2982,0.6962409526033154,5.7980830670926515,0.3459563194888174,183
15056P,877,5011.6,67.46153846153847,385.5076923076923,13,40.78524117172654,180,588,0.6704675028506272,5.9079710144927535,0.045045377796538444,86
15058A,60,405.0,20.0,135.0,3,10.0,30,20,0.3333333333333333,6.75,0.0,5
15058B,40,270.0,20.0,135.0,2,14.142135623730951,30,30,0.75,6.75,0.0,3
15058C,167,659.65,41.75,164.9125,4,29.64652874565025,80,40,0.23952095808383234,3.95,0.0,10
15060B,519,1891.05,43.25,157.5875,12,23.218820735852116,78,271,0.5221579961464354,3.7280821917808216,0.01717146905999055,67
16008,2399,303.14,218.0909090909091,27.55818181818182,11,232.7446903993535,708,1649,0.6873697373905794,0.12908333333333333,0.0012218417366946786,54
16010,42,5.04,14.0,1.68,3,9.16515138991168,24,24,0.5714285714285714,0.12,0.0,3
16011,1573,330.33,121.0,25.41,13,121.63264364470584,401,1030,0.6547997457088366,0.21,0.0,38
16012,972,204.12,88.36363636363636,18.55636363636364,11,61.26870771817001,192,377,0.38786008230452673,0.21000000000000002,0.0,33
16014,1175,445.6,90.38461538461539,34.276923076923076,13,73.66199660333504,250,688,0.585531914893617,0.39599999999999996,0.0018486486486486507,34
16015,490,234.64,49.0,23.464,10,25.673159351959605,94,343,0.7,0.4883333333333333,0.0015400000000000006,19
16016,1100,928.89,84.61538461538461,71.45307692307692,13,38.047204149447616,181,636,0.5781818181818181,0.8470114942528736,0.00038398823843892007,41
16020C,6,5.1,3.0,2.55,2,1.4142135623730951,4,0,0.0,0.85,0.0,1
16033,162,19.44,54.0,6.48,3,27.0,81,108,0.6666666666666666,0.12,0.0,4
16043,51,6.12,51.0,6.12,1,,51,0,0.0,0.12,0.0,2
16045,2943,124.20000000000002,327.0,13.800000000000002,9,262.97100600636566,810,2106,0.7155963302752294,0.042201834862385317,0.00017288481141692155,61
16046,85,72.25,9.444444444444445,8.027777777777779,9,10.187137859957417,31,62,0.7294117647058823,0.85,0.0,13
16048,1812,253.44,181.2,25.344,10,138.9402749385505,432,1411,0.7786975717439294,0.1380722891566265,0.005157214222744638,41
16049,135,32.400000000000006,67.5,16.200000000000003,2,57.27564927611035,108,108,0.8,0.24,0.026999999999999996,5
16052,342,120.18,114.0,40.06,3,72.74613391789285,192,288,0.8421052631578947,0.35428571428571426,0.011626373626373624,5
16054,1067,128.64000000000001,133.375,16.080000000000002,8,105.47299925302481,330,841,0.788191190253046,0.12666666666666668,0.002000000000000001,29
16151A,37,46.25,37.0,46.25,1,,37,35,0.9459459459459459,1.25,0.0,3
16156L,527,221.34,52.7,22.134,10,22.126153453925667,100,277,0.5256166982922201,0.42000000000000004,0.0,17
16156S,5909,2467.74,454.53846153846155,189.82615384615383,13,192.22669576336833,756,3241,0.548485361313251,0.41778723404255314,0.00016260410983815233,135
16161G,933,93.3,103.66666666666667,10.366666666666667,9,128.24683231955478,425,702,0.752411575562701,0.1,0.0,22
16161M,25,10.5,25.0,10.5,1,,25,0,0.0,0.42,,1
16161P,8505,3568.32,654.2307692307693,274.48615384615385,13,342.28451952679995,1204,4765,0.5602586713697825,0.41958702064896747,2.9414742280637438e-05,189
16161U,5319,2232.36,409.15384615384613,171.72,13,204.74652872671865,747,3363,0.6322617033276932,0.41971563981042653,1.7061611374407583e-05,105
16162L,21,13.65,5.25,3.4125,4,3.095695936834452,8,12,0.5714285714285714,0.65,0.0,5
16162M,34,14.28,11.333333333333334,4.76,3,4.163331998932266,16,22,0.6470588235294118,0.42000000000000004,0.0,6
16168M,838,351.96000000000004,83.8,35.196000000000005,10,71.43730740228727,231,695,0.8293556085918854,0.42000000000000004,0.0,19
16169E,5488,2301.72,914.6666666666666,383.61999999999995,6,662.5700466114256,1851,3610,0.657798833819242,0.4194520547945205,3.272590172175444e-05,143
16169K,975,409.5,243.75,102.375,4,242.70609798684498,575,925,0.9487179487179487,0.42,0.0,8
16169M,887,372.54,80.63636363636364,33.86727272727273,11,36.406792573015075,150,510,0.5749718151071026,0.42,0.0,24
16169N,50,21.0,50.0,21.0,1,,50,50,1.0,0.42,0.0,1
16169P,75,31.5,75.0,31.5,1,,75,50,0.6666666666666666,0.42,0.0,2
16202A,15,7.5,7.5,3.75,2,6.363961030678928,12,12,0.8,0.5,0.0,2
16202B,39,19.5,39.0,19.5,1,,39,15,0.38461538461538464,0.5,0.0,2
16202E,19,9.5,19.0,9.5,1,,19,6,0.3157894736842105,0.5,0.0,3
16206B,12,15.0,6.0,7.5,2,5.656854249492381,10,12,1.0,1.25,0.0,2
16207A,32,94.40000000000002,6.4,18.880000000000003,5,6.54217089351845,18,32,1.0,2.95,0.0,4
16207B,5,14.260000000000002,2.5,7.130000000000001,2,2.1213203435596424,4,2,0.4,2.8275,0.06002500000000007,3
16216,987,82.24000000000001,89.72727272727273,7.476363636363637,11,66.88810194510067,240,618,0.6261398176291794,0.09481481481481481,0.003987700908455625,38
16218,1244,86.28,103.66666666666667,7.19,12,84.09013922661512,248,737,0.592443729903537,0.07533333333333332,0.0012388700564971754,43
16219,1451,116.31,120.91666666666667,9.6925,12,112.5008754174694,291,908,0.6257753273604411,0.0865625,0.0031721230158730154,41
16225,744,642.3299999999999,62.0,53.527499999999996,12,67.86885749872188,208,418,0.5618279569892473,1.1146666666666667,0.323892435897436,57
16235,1613,338.13,124.07692307692308,26.009999999999998,13,74.18160322081383,271,1030,0.638561686298822,0.21258064516129033,0.0007510097036454239,68
16236,1629,340.74,135.75,28.395,12,100.67420451409315,323,1186,0.7280540208717005,0.20956140350877195,2.1929824561403466e-05,59
16237,4650,956.25,357.6923076923077,73.5576923076923,13,223.2201397034568,881,3187,0.6853763440860215,0.20698795180722893,0.00014210066070734564,109
16238,1570,336.33,120.76923076923077,25.87153846153846,13,82.6943708746791,337,952,0.6063694267515923,0.23603603603603604,0.004951416871416872,61
16244B,7,7.85,3.5,3.925,2,0.7071067811865476,4,0,0.0,1.225,1.0512499999999998,2
16248B,18,22.5,3.6,4.5,5,3.5777087639996634,10,13,0.7222222222222222,1.25,0.0,7
16254,60,52.559999999999995,15.0,13.139999999999999,4,12.96148139681572,27,57,0.95,0.9475,0.07097999999999996,7
16258A,572,186.8,52.0,16.981818181818184,11,75.77334623731487,271,344,0.6013986013986014,0.4375471698113207,0.040988098693759085,29
16259,1215,118.26,135.0,13.14,9,152.57784898208521,473,883,0.7267489711934156,0.0956,0.0018210612244897954,28
17001,27,7.829999999999999,27.0,7.829999999999999,1,,27,0,0.0,0.29,,1
